Country,Population 2020,Density,Land Area
China,1439323776,153,9388211
India,1380004385,464,2973190
United States,331002651,36,9147420
Indonesia,273523615,151,1811570
Pakistan,220892340,287,770880
Brazil,212559417,25,8358140
Nigeria,206139589,226,910770
Bangladesh,164689383,1265,130170
Russia,145934462,9,16376870
Mexico,128932753,66,1943950
Japan,126476461,347,364555
Ethiopia,114963588,115,1000000
Philippines,109581078,368,298170
Egypt,102334404,103,995450
Vietnam,97338579,314,310070
DR Congo,89561403,40,2267050
Turkey,84339067,110,769630
Iran,83992949,52,1628550
Germany,83783942,240,348560
Thailand,69799978,137,510890
United Kingdom,67886011,281,241930
France,65273511,119,547557
Italy,60461826,206,294140
Tanzania,59734218,67,885800
South Africa,59308690,49,1213090
Myanmar,54409800,83,653290
Kenya,53771296,94,569140
South Korea,51269185,527,97230
Colombia,50882891,46,1109500
Spain,46754778,94,498800
Uganda,45741007,229,199810
Argentina,45195774,17,2736690
Algeria,43851044,18,2381740
Sudan,43849260,25,1765048
Ukraine,43733762,75,579320
Iraq,40222493,93,434320
Afghanistan,38928346,60,652860
Poland,37846611,124,306230
Canada,37742154,4,9093510
Morocco,36910560,83,446300
Saudi Arabia,34813871,16,2149690
Uzbekistan,33469203,79,425400
Peru,32971854,26,1280000
Angola,32866272,26,1246700
Malaysia,32365999,99,328550
Mozambique,31255435,40,786380
Ghana,31072940,137,227540
Yemen,29825964,56,527970
Nepal,29136808,203,143350
Venezuela,28435940,32,882050
Madagascar,27691018,48,581795
Cameroon,26545863,56,472710
Côte d'Ivoire,26378274,83,318000
North Korea,25778816,214,120410
Australia,25499884,3,7682300
Niger,24206644,19,1266700
Taiwan,23816775,673,35410
Sri Lanka,21413249,341,62710
Burkina Faso,20903273,76,273600
Mali,20250833,17,1220190
Romania,19237691,84,230170
Malawi,19129952,203,94280
Chile,19116201,26,743532
Kazakhstan,18776707,7,2699700
Zambia,18383955,25,743390
Guatemala,17915568,167,107160
Ecuador,17643054,71,248360
Syria,17500658,95,183630
Netherlands,17134872,508,33720
Senegal,16743927,87,192530
Cambodia,16718965,95,176520
Chad,16425864,13,1259200
Somalia,15893222,25,627340
Zimbabwe,14862924,38,386850
Guinea,13132795,53,245720
Rwanda,12952218,525,24670
Benin,12123200,108,112760
Burundi,11890784,463,25680
Tunisia,11818619,76,155360
Bolivia,11673021,11,1083300
